threshold,fpr,tpr
inf,0.0,0.0
2.1809466966092055,0.0,0.002
1.3212366754551135,0.0,0.23
1.31861093077766,0.002,0.23
1.05324199320325,0.002,0.412
1.0530408954420167,0.004,0.412
1.0401697946271742,0.004,0.42
1.0401018887488898,0.006,0.42
0.9700659830762229,0.006,0.46
0.9700062241254934,0.008,0.46
0.9697556026678069,0.008,0.462
0.9593735188272059,0.01,0.462
0.8691957748992065,0.01,0.502
0.8654680583780967,0.012,0.502
0.8325578956474686,0.012,0.53
0.8303574802406875,0.016,0.53
0.7301869576754324,0.016,0.582
0.7197186763045637,0.018,0.582
0.6967819491197649,0.018,0.6
0.6913550506004746,0.022,0.6
0.6874273185691755,0.022,0.602
0.6827890413422669,0.024,0.602
0.6824947925419298,0.024,0.604
0.6767574858699923,0.026,0.604
0.6701734578632079,0.026,0.606
0.6700878084197313,0.028,0.606
0.656607115758199,0.028,0.622
0.6547220647309999,0.03,0.622
0.6443184023180468,0.03,0.628
0.640385836661917,0.032,0.628
0.6390211717103836,0.032,0.632
0.6323918858445605,0.034,0.632
0.6228956321616826,0.034,0.638
0.621694075074829,0.038,0.638
0.6082406781233761,0.038,0.646
0.6061708713460429,0.04,0.646
0.6013077868060882,0.04,0.648
0.5991858356033026,0.044,0.648
0.5790721771403078,0.044,0.66
0.5735341864875588,0.046,0.66
0.5717645960050141,0.046,0.662
0.5707035745091311,0.05,0.662
0.5600764980689539,0.05,0.668
0.557738907140031,0.052,0.668
0.5374317902113336,0.052,0.68
0.5357152229611792,0.054,0.68
0.5246260033730156,0.054,0.688
0.5230519476223567,0.056,0.688
0.49167057426998434,0.056,0.698
0.47863363843843904,0.066,0.698
0.4724457178163302,0.066,0.7
0.44688615955592315,0.078,0.7
0.44465837951452103,0.078,0.704
0.44369902632808783,0.08,0.704
0.41153089489103656,0.08,0.714
0.4064217660395211,0.082,0.714
0.40301264197157166,0.082,0.716
0.39906797897682245,0.086,0.716
0.37949657762090566,0.086,0.728
0.377170057920145,0.088,0.728
0.3690887384953649,0.088,0.736
0.36113218804463265,0.092,0.736
0.348038982878451,0.092,0.742
0.34692392156265084,0.094,0.742
0.3386492645089475,0.094,0.746
0.33795160568564697,0.096,0.746
0.33723995339711144,0.096,0.748
0.3175402735286268,0.102,0.748
0.31459450794218635,0.102,0.754
0.30933463262156335,0.104,0.754
0.3034726156930452,0.104,0.756
0.30241019666038527,0.106,0.756
0.29682168776758056,0.106,0.758
0.2896884508786784,0.112,0.758
0.2876859153274573,0.112,0.764
0.28026225802861066,0.114,0.764
0.2633622415230725,0.114,0.766
0.26203001084090327,0.116,0.766
0.2577426664762152,0.116,0.768
0.2549098813139863,0.118,0.768
0.2531535227354188,0.118,0.77
0.25222133812475345,0.12,0.77
0.21906100725959146,0.12,0.782
0.20905549764933576,0.124,0.782
0.19828510021924853,0.124,0.786
0.19573511338941801,0.126,0.786
0.1950108745117322,0.126,0.788
0.18846044068344187,0.128,0.788
0.18657663457100368,0.128,0.79
0.18320904718820985,0.132,0.79
0.17884289185285987,0.132,0.796
0.17593209141537314,0.134,0.796
0.17531881401105218,0.134,0.798
0.17093022485254122,0.138,0.798
0.1682874193540144,0.138,0.8
0.15880882009180372,0.14,0.8
0.15273630367699503,0.14,0.804
0.1475149207117089,0.146,0.804
0.14686914786984362,0.146,0.806
0.13906619645822652,0.154,0.806
0.13731689847979742,0.154,0.81
0.12931288319156004,0.158,0.81
0.12401675654545662,0.158,0.818
0.12356249335969713,0.162,0.818
0.12267930510818756,0.162,0.82
0.11954003868850466,0.164,0.82
0.11352673998361933,0.164,0.828
0.11196957930932622,0.17,0.828
0.11035842657479746,0.17,0.83
0.10537482193058993,0.176,0.83
0.10475737221889525,0.176,0.832
0.09988342865283667,0.178,0.832
0.09861023361353266,0.178,0.834
0.09243917775695851,0.18,0.834
0.09157067536916194,0.18,0.838
0.09139223146572009,0.182,0.838
0.08722661234822536,0.182,0.842
0.08698847865724998,0.184,0.842
0.07657771242502859,0.184,0.848
0.07570376095325837,0.186,0.848
0.07311993188346418,0.186,0.85
0.07018470974809887,0.188,0.85
0.06877792785920744,0.188,0.852
0.06679409798647185,0.194,0.852
0.05990388581956708,0.194,0.858
0.05853873833962076,0.196,0.858
0.056836824789280725,0.196,0.86
0.05588248605462681,0.198,0.86
0.05499497334592421,0.198,0.862
0.05399781958703013,0.2,0.862
0.05357034152240011,0.2,0.864
0.04695949364212283,0.206,0.864
0.04585765139161387,0.206,0.868
0.04204719170222057,0.212,0.868
0.041857940112346115,0.212,0.87
0.04012899782990193,0.216,0.87
0.0390893579147155,0.216,0.874
0.035432666244855186,0.22,0.874
0.02944547913099171,0.22,0.884
0.027785286619757668,0.224,0.884
0.025188694564209965,0.224,0.888
0.02512825163812231,0.226,0.888
0.02500183333456844,0.226,0.89
0.018662010524102057,0.24,0.89
0.018295410552081375,0.24,0.892
0.016949514482635302,0.244,0.892
0.015503969626194705,0.244,0.898
0.015478797041158763,0.246,0.898
0.013747393123794888,0.246,0.906
0.013150995332904068,0.248,0.906
0.012964826957735195,0.248,0.908
0.011909432116124122,0.254,0.908
0.011860876689792337,0.254,0.91
0.011818216796647466,0.256,0.91
0.009420642102043499,0.256,0.918
0.009370010415842078,0.258,0.918
0.008270757182103924,0.258,0.92
0.0060231224852746795,0.262,0.92
0.005876593479041883,0.262,0.922
0.005626150302335277,0.264,0.922
0.005603369178608898,0.264,0.924
0.004487185554642763,0.266,0.924
0.004214366952994232,0.266,0.926
0.003617276564079589,0.272,0.926
0.0035449475609584903,0.272,0.928
0.0027573622868636606,0.274,0.928
0.0017969246139585384,0.274,0.936
0.0013370800514989414,0.278,0.936
0.0008832371948196955,0.278,0.938
0.0005586758404735826,0.28,0.938
0.0005303275181209058,0.28,0.94
0.0004639925006855622,0.282,0.94
0.0003085645785689094,0.282,0.944
0.00023318526078732835,0.286,0.944
5.0634459696580853e-05,0.286,0.956
1.3702817508256372e-05,0.29,0.956
2.0166364960654487e-06,0.29,0.96
0.0,1.0,1.0
