threshold,fpr,tpr
inf,0.0,0.0
1.9225176846631817,0.0,0.002
1.1677604822315804,0.0,0.118
1.1671189560219497,0.002,0.118
1.0678290004556787,0.002,0.152
1.0664464839451508,0.004,0.152
1.0575539764063215,0.004,0.154
1.0540002464043396,0.006,0.154
1.0345241017643119,0.006,0.16
1.0289911877701179,0.008,0.16
1.0047041047796483,0.008,0.172
1.0017491273324113,0.01,0.172
0.9891975210366919,0.01,0.182
0.9856617042465641,0.012,0.182
0.9825580088643707,0.012,0.184
0.9821094410342199,0.014,0.184
0.9661703339645065,0.014,0.2
0.9649771087200111,0.016,0.2
0.89460773568946,0.016,0.232
0.8934388359277756,0.018,0.232
0.839882080323039,0.018,0.252
0.8294503322274093,0.02,0.252
0.8105465751518786,0.02,0.262
0.8030553794897749,0.022,0.262
0.7801856832479344,0.022,0.272
0.7799457143310954,0.024,0.272
0.7779841395180364,0.024,0.274
0.7737688857725333,0.026,0.274
0.74646655531126,0.026,0.286
0.7431462644341424,0.028,0.286
0.7070300473351026,0.028,0.314
0.7060229704115167,0.03,0.314
0.6980617015104001,0.03,0.324
0.695826172603381,0.034,0.324
0.693128485593199,0.034,0.33
0.6928251799967986,0.038,0.33
0.6891387220269405,0.038,0.338
0.6881674465580314,0.042,0.338
0.6873301030578409,0.042,0.34
0.6817316607567698,0.048,0.34
0.6746799887555348,0.048,0.348
0.6708492896992078,0.05,0.348
0.6664241508015993,0.05,0.354
0.6606046770769418,0.054,0.354
0.6571173652341991,0.054,0.358
0.654898260439865,0.056,0.358
0.6513949956316027,0.056,0.364
0.6477339249122094,0.06,0.364
0.6433092539436739,0.06,0.368
0.6415550899439693,0.062,0.368
0.6327445727696219,0.062,0.374
0.6261581364933546,0.068,0.374
0.6213191165069345,0.068,0.382
0.6203826205017395,0.072,0.382
0.6138775761360441,0.072,0.388
0.6101320341806957,0.074,0.388
0.5892636324691125,0.074,0.4
0.5835810754536268,0.076,0.4
0.5822336787850336,0.076,0.404
0.5803321285606888,0.078,0.404
0.5655124645843783,0.078,0.416
0.5510453210318359,0.08,0.416
0.5466377803056666,0.08,0.418
0.5317821167227857,0.088,0.418
0.5160002999752864,0.088,0.422
0.5136285964981064,0.09,0.422
0.511494715211764,0.09,0.426
0.5084801465048049,0.092,0.426
0.49412630585681927,0.092,0.442
0.4917837167224848,0.096,0.442
0.48843007039778624,0.096,0.446
0.46635462416341955,0.106,0.446
0.41992848518422515,0.106,0.46
0.3961251402213348,0.118,0.46
0.39419776971360065,0.118,0.464
0.3827644828620701,0.12,0.464
0.3754236702365533,0.12,0.474
0.3715759350591429,0.124,0.474
0.3671235006685517,0.124,0.478
0.36258369629593845,0.13,0.478
0.3575858731932057,0.13,0.484
0.3566617194130406,0.132,0.484
0.3443974978084372,0.132,0.49
0.34190846786944806,0.134,0.49
0.33112929896183363,0.134,0.5
0.33028667905563197,0.136,0.5
0.3277218734434919,0.136,0.504
