threshold,fpr,tpr
inf,0.0,0.0
1.0969148388708883,0.0,0.01
0.8012387763362723,0.0,0.07
0.7671378112030642,0.01,0.07
0.7069241991918633,0.01,0.09
0.6921923684374034,0.02,0.09
0.6920432233729273,0.02,0.1
0.6899614324832372,0.04,0.1
0.6634327342422338,0.04,0.15
0.6633719070966119,0.05,0.15
0.6291221870780681,0.05,0.17
0.6119390413757227,0.07,0.17
0.5850292575124052,0.07,0.18
0.5689961094993043,0.09,0.18
0.3652035257676237,0.09,0.31
0.35923332830622295,0.1,0.31
0.3515219046920455,0.1,0.33
0.35121894816594856,0.11,0.33
0.3243592415710468,0.11,0.35
0.32277825440192903,0.12,0.35
0.2571380319788967,0.12,0.41
0.2383172942053074,0.15,0.41
0.21611463801251235,0.15,0.43
0.204982371937471,0.16,0.43
0.15566923404075356,0.16,0.45
0.15284238240678497,0.17,0.45
0.08338172941435713,0.17,0.49
0.07924376984213051,0.18,0.49
0.047858119338741026,0.18,0.54
0.046542884517830715,0.19,0.54
0.010871269622438399,0.19,0.64
0.008952269865595611,0.21,0.64
0.006261877773261064,0.21,0.65
0.004638182752658246,0.22,0.65
0.002326921936259741,0.22,0.66
0.0011418833163885024,0.24,0.66
4.3206498993008676e-05,0.24,0.69
3.0886058625828485e-05,0.25,0.69
1.4385800122559862e-05,0.25,0.71
9.462657665289186e-06,0.26,0.71
7.395996827421203e-07,0.26,0.76
0.0,1.0,1.0
